id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,2,oa,front
70,2,oa,back
71,2,oa,up
72,7,posCtl,VXi
73,2,oa,right
74,7,usd,spiWrBps
75,7,usd,spiReBps
76,7,usd,fatWrBps
77,3,motor,m1
78,3,motor,m2
79,3,motor,m3
80,3,motor,m4
81,3,pwm,m1_pwm
82,3,pwm,m2_pwm
83,3,pwm,m3_pwm
84,3,pwm,m4_pwm
85,3,pwm,cycletime
86,7,pm,vbat
87,2,pm,vbatMV
88,7,pm,extVbat
89,2,pm,extVbatMV
90,7,pm,extCurr
91,7,pm,chargeCurrent
92,4,pm,state
93,7,sensfusion6,qx
94,1,radio,rssi
95,1,radio,isConnected
96,5,gyro,xRaw
97,5,gyro,yRaw
98,5,gyro,zRaw
99,7,gyro,xVariance
100,7,gyro,yVariance
101,7,gyro,zVariance
102,7,gyro,x
103,7,gyro,y
104,7,gyro,z
105,7,pid_attitude,roll_outP
106,7,pid_attitude,roll_outI
107,7,pid_attitude,roll_outD
108,7,pid_attitude,roll_outFF
109,7,pid_attitude,pitch_outP
110,7,pid_attitude,pitch_outI
111,7,pid_attitude,pitch_outD
112,7,pid_attitude,pitch_outFF
113,7,pid_attitude,yaw_outP
114,7,pid_attitude,yaw_outI
115,7,pid_attitude,yaw_outD
116,7,pid_attitude,yaw_outFF
117,7,pid_rate,roll_outP
118,7,pid_rate,roll_outI
119,7,pid_rate,roll_outD
120,7,pid_rate,roll_outFF
121,7,pid_rate,pitch_outP
122,7,pid_rate,pitch_outI
123,7,pid_rate,pitch_outD
124,7,pid_rate,pitch_outFF
125,7,pid_rate,yaw_outP
126,7,pid_rate,yaw_outI
127,7,pid_rate,yaw_outD
128,7,pid_rate,yaw_outFF
129,3,colAv,latency
130,7,ctrlINDI,cmd_thrust
131,7,ctrlINDI,cmd_roll
132,7,ctrlINDI,cmd_pitch
133,7,ctrlINDI,cmd_yaw
134,7,ctrlINDI,r_roll
135,7,ctrlINDI,r_pitch
136,7,ctrlINDI,r_yaw
137,7,ctrlINDI,u_act_dyn_p
138,7,ctrlINDI,u_act_dyn_q
139,7,ctrlINDI,u_act_dyn_r
140,7,ctrlINDI,du_p
141,7,ctrlINDI,du_q
142,7,ctrlINDI,du_r
143,7,ctrlINDI,ang_accel_ref_p
144,7,ctrlINDI,ang_accel_ref_q
145,7,ctrlINDI,ang_accel_ref_r
146,7,ctrlINDI,rate_d[0]
147,7,ctrlINDI,rate_d[1]
148,7,ctrlINDI,rate_d[2]
149,7,ctrlINDI,uf_p
150,7,ctrlINDI,uf_q
151,7,stateEstimate,qy
152,7,ctrlINDI,Omega_f_p
153,7,ctrlINDI,Omega_f_q
154,7,ctrlINDI,Omega_f_r
155,7,ctrlINDI,n_p
156,7,ctrlINDI,n_q
157,7,ctrlINDI,n_r
158,7,ctrlMel,cmd_thrust
159,7,ctrlMel,cmd_roll
160,7,ctrlMel,cmd_pitch
161,7,ctrlMel,cmd_yaw
162,7,ctrlMel,r_roll
163,7,ctrlMel,r_pitch
164,7,ctrlMel,r_yaw
165,7,ctrlMel,accelz
166,7,ctrlMel,zdx
167,7,ctrlMel,zdy
168,7,ctrlMel,zdz
169,7,ctrlMel,i_err_x
170,7,ctrlMel,i_err_y
171,7,tdoaEngine,stRx
172,7,controller,cmd_thrust
173,7,controller,cmd_roll
174,7,controller,cmd_pitch
175,7,controller,cmd_yaw
176,7,controller,r_roll
177,7,controller,r_pitch
178,7,controller,r_yaw
179,7,controller,accelz
180,7,controller,actuatorThrust
181,7,controller,roll
182,7,controller,pitch
